ProfileM	Shape_Leng	ORIG_FID	POINT_X	POINT_Z	POINT_Y
3816.663	177.4932778	3	844921.56	1365499.52	293.66
3816.663	177.4932778	3	844922.53	1365498.9	293.49
3816.663	177.4932778	3	844923.51	1365498.29	293.26
3816.663	177.4932778	3	844924.2	1365497.85	292.9
3816.663	177.4932778	3	844925.18	1365497.24	292.06
3816.663	177.4932778	3	844925.87	1365496.8	291.72
3816.663	177.4932778	3	844926.56	1365496.36	291.33
3816.663	177.4932778	3	844927.25	1365495.93	289.99
3816.663	177.4932778	3	844928.22	1365495.32	289.02
3816.663	177.4932778	3	844928.91	1365494.88	288.57
3816.663	177.4932778	3	844929.61	1365494.44	288.15
3816.663	177.4932778	3	844930.3	1365494.01	287.39
3816.663	177.4932778	3	844931.28	1365493.39	287.26
3816.663	177.4932778	3	844931.97	1365492.96	287.24
3816.663	177.4932778	3	844932.94	1365492.34	287.27
3816.663	177.4932778	3	844933.63	1365491.91	287.3
3816.663	177.4932778	3	844935.01	1365491.04	287.37
3816.663	177.4932778	3	844935.99	1365490.42	287.46
3816.663	177.4932778	3	844936.68	1365489.98	287.49
3816.663	177.4932778	3	844937.37	1365489.55	287.51
3816.663	177.4932778	3	844938.07	1365489.11	287.58
3816.663	177.4932778	3	844939.04	1365488.5	287.63
3816.663	177.4932778	3	844939.73	1365488.06	287.68
3816.663	177.4932778	3	844940.7	1365487.45	287.77
3816.663	177.4932778	3	844941.68	1365486.83	287.83
3816.663	177.4932778	3	844942.38	1365486.39	287.88
3816.663	177.4932778	3	844943	1365486	287.92
3816.663	177.4932778	3	844943.74	1365485.5	287.97
3816.663	177.4932778	3	844944.42	1365485.05	287.98
3816.663	177.4932778	3	844945.1	1365484.6	287.97
3816.663	177.4932778	3	844945.78	1365484.15	287.86
3816.663	177.4932778	3	844947.14	1365483.24	287.65
3816.663	177.4932778	3	844947.82	1365482.79	287.58
3816.663	177.4932778	3	844948.5	1365482.33	287.42
3816.663	177.4932778	3	844949.18	1365481.88	287.34
3816.663	177.4932778	3	844949.86	1365481.43	287.27
3816.663	177.4932778	3	844950.54	1365480.98	287.11
3816.663	177.4932778	3	844951.22	1365480.52	287.04
3816.663	177.4932778	3	844951.9	1365480.07	286.88
3816.663	177.4932778	3	844952.57	1365479.62	286.72
3816.663	177.4932778	3	844953.53	1365478.98	286.54
3816.663	177.4932778	3	844954.5	1365478.34	286.28
3816.663	177.4932778	3	844955	1365478	286.18
3816.663	177.4932778	3	844955	1365478	286.18
3816.663	177.4932778	3	844955.17	1365477.87	286
3816.663	177.4932778	3	844955.82	1365477.38	285.86
3816.663	177.4932778	3	844956.48	1365476.89	285.68
3816.663	177.4932778	3	844957.78	1365475.91	285.62
3816.663	177.4932778	3	844959.09	1365474.93	285.58
3816.663	177.4932778	3	844960.4	1365473.95	285.56
3816.663	177.4932778	3	844961.05	1365473.46	285.52
3816.663	177.4932778	3	844961.7	1365472.97	285.52
3816.663	177.4932778	3	844963.01	1365471.99	285.5
3816.663	177.4932778	3	844963.66	1365471.5	285.5
3816.663	177.4932778	3	844964.31	1365471.01	285.49
3816.663	177.4932778	3	844964.97	1365470.52	285.49
3816.663	177.4932778	3	844965.62	1365470.03	285.47
3816.663	177.4932778	3	844966.54	1365469.34	285.47
3816.663	177.4932778	3	844967	1365469	285.46
3816.663	177.4932778	3	844967.23	1365468.92	285.45
3816.663	177.4932778	3	844968.32	1365468.53	285.45
3816.663	177.4932778	3	844969.09	1365468.26	285.44
3816.663	177.4932778	3	844969.86	1365467.99	285.44
3816.663	177.4932778	3	844970.95	1365467.61	285.46
